5,3,1,0.000085
5,3,1,0.000013
5,3,1,0.011633
0,0,0,0.001157
0,0,0,0.001296
0,0,0,0.000916
0,0,0,0.001198
0,0,0,0.001209
1,1,3,0.004558
5,5,1,0.013273
5,5,4,0.030675
4,5,4,0.028975
4,3,1,0.010475
4,5,3,0.020769
0,0,0,0.001610
0,0,0,0.001284
0,0,0,0.001275
0,0,0,0.001211
8,8,2,0.033542
20,20,3,0.005449
2,2,3,0.005617
2,2,3,0.004814
2,2,3,0.004606
2,2,3,0.004627
2,2,3,0.005270
2,2,4,0.018688
0,0,0,0.001464
0,0,0,0.000945
0,0,0,0.001160
0,0,0,0.001073
2,2,1,0.009362
2,2,4,0.018395
0,0,0,0.001111
0,0,0,0.000946
0,0,0,0.001178
0,0,0,0.000995
2,2,4,0.000015
0,0,0,0.000002
0,0,0,0.000002
0,0,0,0.000003
0,0,0,0.000002
2,2,2,0.000022
0,0,0,0.000004
0,0,0,0.000001
0,0,0,0.000002
0,0,0,0.000001
2,2,2,0.000018
0,0,0,0.000001
0,0,0,0.000002
0,0,0,0.000002
0,0,0,0.000004
2,2,2,0.000043
2,2,2,0.000033
2,2,2,0.000019
2,2,2,0.000023
2,2,2,0.000034
2,2,2,0.000020
26,25,2,0.000082
51,51,2,0.000132
75,73,2,0.000196
96,97,2,0.000254
2,2,2,0.022537
26,25,2,0.031174
49,49,2,0.023612
71,74,2,0.031619
93,96,2,0.027130
